Year,District,Crime Category,Number of Cases,"Crime Rate per 100,000",Crime Severity,Crime Time,Crime Location,Weather Condition,Unemployment Rate (%),Poverty Level (%),Festival/Event,Population Density (per km²),Literacy Rate (%),Crime Hotspot,Repeat Offenses
2021,Cuddalore,Assault,969,15.89,High,Morning,Residential Area,Rainy,11.18,27.14,Diwali,6300,82.91,No,1
2021,Nagapattinam,Murder,657,11.53,Medium,Night,Industrial Zone,Cloudy,11.59,12.24,Christmas,4540,69.48,No,1
2020,Tiruchirappalli,Theft,852,23.03,High,Evening,Commercial Area,Rainy,4.09,13.14,Christmas,10103,80.23,Yes,2
2021,Tiruchirappalli,Cyber Crime,357,29.75,Low,Night,Industrial Zone,Cloudy,4.71,27.97,Christmas,12284,70.62,No,1
2021,Madurai,Murder,842,12.03,High,Night,Highway,Foggy,3.14,19.41,Diwali,14793,83.76,No,1
2021,Namakkal,Burglary,539,6.27,Medium,Night,Highway,Foggy,9,29.43,No Event,10663,84.8,No,1
2020,Erode,Theft,691,53.15,Medium,Evening,Commercial Area,Foggy,5.96,25.11,Diwali,14387,68.68,No,1
2021,Tiruvannamalai,Drug Offenses,144,1.44,Low,Night,Highway,Cloudy,10.59,24.08,Diwali,10861,73.05,No,1
2021,Ariyalur,Murder,916,11.17,High,Afternoon,Urban Area,Cloudy,4.44,22.85,No Event,3193,76.27,No,1
2021,Salem,Murder,196,5.3,Low,Afternoon,Rural Area,Stormy,3.7,34.01,Temple Festival,10510,88.66,No,1
2021,Vellore,Domestic Violence,809,14.98,High,Evening,Urban Area,Rainy,5.6,32.38,Temple Festival,2649,85.46,Yes,3
2019,Virudhunagar,Assault,483,4.93,Medium,Night,Highway,Stormy,9.27,11.25,No Event,4714,72.8,No,1
2019,Pudukkottai,Fraud,872,29.07,High,Morning,Residential Area,Cloudy,9.12,31.49,No Event,9010,66.58,No,1
2019,Chennai,Cyber Crime,234,12.32,Low,Evening,Industrial Zone,Foggy,8.32,11.75,Diwali,1041,81.89,No,1
2020,Namakkal,Murder,986,35.21,High,Night,Residential Area,Rainy,9.83,25.5,Diwali,5071,79.53,No,1
2019,Virudhunagar,Drug Offenses,307,17.06,Low,Morning,Urban Area,Sunny,6.31,19.35,Diwali,990,73.59,No,1
2021,Chennai,Cyber Crime,149,2.22,Low,Evening,Rural Area,Foggy,9.96,11.87,Christmas,9005,82.32,No,1
2020,Chennai,Assault,376,9.89,Low,Morning,Rural Area,Rainy,6.03,21.05,Diwali,9800,77.12,No,1
2021,Chennai,Kidnapping,1176,15.08,High,Afternoon,Urban Area,Foggy,10.72,34.35,Diwali,12788,77.76,No,1
2020,Tirunelveli,Murder,127,5.52,Low,Evening,Highway,Sunny,7.76,13.66,Christmas,9609,68.03,No,1
2021,Thanjavur,Kidnapping,677,14.72,Medium,Morning,Commercial Area,Cloudy,3.13,34.18,Pongal,13224,84.3,No,1
2021,Tiruvannamalai,Assault,487,11.88,Medium,Night,Highway,Cloudy,3.68,22.02,Christmas,9083,68.74,No,1
2020,Kanyakumari,Fraud,1186,12.23,High,Morning,Highway,Stormy,4.13,22.4,Christmas,10483,74.31,No,1
2021,Ariyalur,Drug Offenses,1180,18.73,High,Afternoon,Commercial Area,Sunny,8.25,22.77,No Event,3148,83.14,No,1
2021,Ramanathapuram,Murder,1119,27.98,High,Night,Residential Area,Stormy,3.88,11.22,Christmas,2762,67.2,No,1
2021,Madurai,Robbery,654,9.48,Medium,Morning,Rural Area,Stormy,4.64,26.56,Independence Day,8761,73.2,No,1
2019,Nagapattinam,Kidnapping,355,5,Low,Evening,Highway,Stormy,9.79,29.48,No Event,13934,74.48,No,1
2019,Dharmapuri,Theft,792,31.68,Medium,Evening,Residential Area,Cloudy,8.63,30.2,Independence Day,10842,88.78,No,1
2019,Ariyalur,Robbery,955,68.21,High,Evening,Rural Area,Cloudy,3.04,24,Independence Day,5787,80.03,No,1
2020,Chennai,Domestic Violence,1090,12.98,High,Evening,Industrial Zone,Sunny,5.27,15.3,Diwali,14131,93.99,No,1
2019,Cuddalore,Robbery,96,1.6,Low,Afternoon,Commercial Area,Rainy,10.9,16.32,Diwali,6275,65.68,No,1
2021,Tiruchirappalli,Burglary,166,2.52,Low,Morning,Industrial Zone,Stormy,5.21,32.13,Pongal,12719,87.45,No,1
2019,Tirunelveli,Assault,774,14.6,Medium,Afternoon,Rural Area,Foggy,9.75,14.08,Pongal,1699,88.96,No,1
2021,Thanjavur,Cyber Crime,935,17.98,High,Evening,Rural Area,Stormy,9.08,32.74,Christmas,3168,74.48,No,1
2020,Thoothukudi,Kidnapping,719,27.65,Medium,Night,Highway,Cloudy,3.72,29.8,Christmas,1375,70.36,No,1
2019,Thanjavur,Domestic Violence,880,35.2,High,Afternoon,Commercial Area,Cloudy,9.35,10.39,Christmas,999,73.77,No,1
2019,Nilgiris,Assault,151,2.1,Low,Morning,Commercial Area,Foggy,6.04,30.23,Independence Day,2004,82.66,No,1
2019,Dharmapuri,Murder,110,3.33,Low,Afternoon,Residential Area,Stormy,5.83,34.81,Pongal,11641,78.49,No,1
2019,Dindigul,Domestic Violence,660,9.04,Medium,Night,Commercial Area,Rainy,4.32,19.42,Christmas,7807,66,No,1
2021,Villupuram,Assault,65,4.33,Low,Night,Urban Area,Foggy,5.87,23.81,Christmas,5033,76.92,No,1
2019,Kanyakumari,Domestic Violence,966,11.93,High,Morning,Rural Area,Cloudy,8.42,21.65,Christmas,9075,89.07,No,1
2020,Thanjavur,Drug Offenses,243,3.74,Low,Night,Commercial Area,Stormy,7.79,34.63,Pongal,10680,87.74,No,1
2020,Dindigul,Theft,1020,14.17,High,Afternoon,Commercial Area,Sunny,6.73,25.75,No Event,9964,73.59,No,1
2019,Madurai,Robbery,516,10.53,Medium,Night,Industrial Zone,Rainy,3.89,34.89,Christmas,12971,70.34,No,1
2020,Namakkal,Kidnapping,77,1.22,Low,Evening,Industrial Zone,Cloudy,6.08,19.3,No Event,7204,74.34,No,1
2020,Erode,Burglary,827,27.57,High,Morning,Highway,Rainy,8.97,34.6,Christmas,9008,65.54,No,1
2019,Thanjavur,Assault,785,12.66,Medium,Evening,Commercial Area,Foggy,8.24,12.58,Independence Day,5629,75.56,No,1
2020,Cuddalore,Assault,952,11.07,High,Night,Commercial Area,Rainy,3.4,16.71,Christmas,4536,88.56,Yes,2
2020,Tiruvannamalai,Theft,845,28.17,High,Night,Urban Area,Rainy,4,27.39,Christmas,5687,71.93,Yes,3
2019,Pudukkottai,Robbery,175,2.78,Low,Morning,Residential Area,Cloudy,9.09,23.73,Christmas,7508,88.96,No,1
2021,Kanyakumari,Burglary,715,21.03,Medium,Afternoon,Highway,Rainy,10.31,21.64,Diwali,12494,74.8,No,1
2020,Ramanathapuram,Fraud,726,36.3,Medium,Night,Residential Area,Foggy,11.9,21.4,Independence Day,1980,74.31,No,1
2021,Krishnagiri,Robbery,1183,65.72,High,Evening,Rural Area,Cloudy,6.84,31.47,Diwali,12575,77.54,No,1
2021,Salem,Burglary,742,15.46,Medium,Night,Rural Area,Sunny,4.55,32.24,Christmas,11449,79.87,No,1
2019,Villupuram,Fraud,1152,12.39,High,Morning,Urban Area,Cloudy,8.8,12.65,Diwali,14598,72.14,No,1
2020,Madurai,Domestic Violence,159,7.57,Low,Morning,Commercial Area,Cloudy,10.18,34.45,No Event,1107,66.63,No,1
2019,Vellore,Kidnapping,1149,19.47,High,Night,Rural Area,Rainy,3.9,13.35,Temple Festival,11367,73.75,No,1
2020,Kanyakumari,Theft,95,1.27,Low,Morning,Urban Area,Sunny,8.52,23.55,Pongal,11764,71.87,No,1
2020,Theni,Kidnapping,826,10.87,High,Night,Residential Area,Sunny,4.96,25.91,Pongal,8004,87.99,No,1
2020,Cuddalore,Fraud,1030,12.88,High,Evening,Rural Area,Stormy,9.34,31.12,Christmas,8508,85.33,No,1
2020,Namakkal,Fraud,747,13.34,Medium,Morning,Commercial Area,Cloudy,4.63,34.39,Temple Festival,8954,86.99,No,1
2019,Erode,Murder,697,21.12,Medium,Evening,Industrial Zone,Cloudy,9.41,23.85,Independence Day,2691,74.82,No,1
2020,Thanjavur,Fraud,863,13.08,High,Night,Commercial Area,Rainy,3.46,31.97,Temple Festival,13725,71.42,Yes,4
2019,Pudukkottai,Fraud,1054,13.87,High,Afternoon,Highway,Cloudy,10.26,23.47,Diwali,7056,87,No,1
2020,Nilgiris,Theft,1063,25.93,High,Morning,Urban Area,Stormy,6.19,29.46,Pongal,13157,65.63,No,1
2021,Sivagangai,Assault,553,5.53,Medium,Evening,Highway,Cloudy,10.5,31.1,No Event,5248,69.34,No,1
2021,Vellore,Robbery,413,8.98,Medium,Night,Highway,Foggy,9.12,27.7,Independence Day,9566,75.97,No,1
2021,Madurai,Domestic Violence,651,26.04,Medium,Night,Residential Area,Stormy,9.31,33.77,Pongal,998,91.69,No,1
2019,Nilgiris,Assault,205,2.7,Low,Morning,Commercial Area,Foggy,8.42,13.44,Temple Festival,9194,94.13,No,1
2021,Tiruvarur,Murder,400,5.33,Low,Morning,Industrial Zone,Cloudy,11.6,28.44,Pongal,6469,89.03,No,1
2020,Chennai,Burglary,252,8.4,Low,Morning,Industrial Zone,Sunny,9.03,22.4,Independence Day,2053,83.8,No,1
2020,Coimbatore,Robbery,353,7.2,Low,Night,Commercial Area,Rainy,10.46,26.15,Independence Day,3556,73.19,No,1
2021,Namakkal,Theft,307,6.82,Low,Evening,Urban Area,Rainy,10.63,10.57,Independence Day,9861,83.59,No,1
2020,Perambalur,Cyber Crime,1150,21.7,High,Afternoon,Industrial Zone,Sunny,5.2,23.69,Temple Festival,10947,67.55,No,1
2021,Dharmapuri,Drug Offenses,716,13.51,Medium,Morning,Industrial Zone,Sunny,6.72,20.41,Christmas,918,90.57,No,1
2021,Vellore,Burglary,1108,17.31,High,Afternoon,Highway,Stormy,11.86,33.26,Temple Festival,4821,72.9,No,1
2019,Dindigul,Burglary,507,10.14,Medium,Afternoon,Urban Area,Stormy,7.02,28.12,Independence Day,10223,74.01,No,1
2019,Dharmapuri,Drug Offenses,1167,41.68,High,Evening,Commercial Area,Cloudy,7.19,26.12,No Event,13892,77.99,Yes,3
2021,Krishnagiri,Cyber Crime,598,6.16,Medium,Morning,Residential Area,Stormy,9.34,11.32,Independence Day,4622,87.96,No,1
2021,Coimbatore,Robbery,1123,22.46,High,Afternoon,Rural Area,Foggy,3.43,23.5,Independence Day,2350,90.37,No,1
2020,Dharmapuri,Robbery,844,56.27,High,Evening,Highway,Cloudy,7.53,10.93,Temple Festival,9303,89.39,No,1
2021,Cuddalore,Kidnapping,829,20.22,High,Afternoon,Highway,Sunny,11.97,21.91,Christmas,12810,76.32,No,1
2020,Krishnagiri,Drug Offenses,732,21.53,Medium,Evening,Commercial Area,Foggy,8.58,26.77,Diwali,8133,91.22,No,1
2020,Karur,Robbery,887,10.95,High,Evening,Residential Area,Rainy,5.99,33.16,Pongal,10966,75.42,No,1
2019,Virudhunagar,Assault,994,11.17,High,Afternoon,Industrial Zone,Sunny,3.26,20.57,Diwali,8760,94.06,No,1
2020,Sivagangai,Murder,102,4.25,Low,Morning,Commercial Area,Rainy,10.69,31.42,Diwali,12136,75.46,No,1
2019,Chennai,Drug Offenses,600,7.5,Medium,Morning,Commercial Area,Cloudy,9.71,14.55,Independence Day,3981,69.19,No,1
2019,Theni,Burglary,610,11.73,Medium,Night,Residential Area,Stormy,8.91,33.76,Christmas,12291,67.82,No,1
2019,Erode,Murder,122,1.63,Low,Night,Rural Area,Stormy,5.35,14.07,Temple Festival,7883,72.32,No,1
2019,Tiruchirappalli,Cyber Crime,745,10.8,Medium,Evening,Highway,Rainy,10.24,13.12,No Event,5053,76.02,No,1
2021,Karur,Domestic Violence,525,9.21,Medium,Night,Commercial Area,Rainy,8.91,16.6,Temple Festival,7755,66.32,No,1
2020,Kanyakumari,Drug Offenses,610,6.93,Medium,Evening,Highway,Foggy,3.43,16.68,Pongal,13466,68.99,No,1
2020,Ariyalur,Assault,817,17.02,High,Night,Urban Area,Stormy,10.83,30.11,Diwali,7930,81.85,Yes,3
2020,Karur,Kidnapping,856,14.27,High,Night,Industrial Zone,Cloudy,7.78,16.15,Christmas,7411,67.58,No,1
2020,Chennai,Domestic Violence,748,11.87,Medium,Morning,Highway,Rainy,7.16,20.28,Christmas,5789,82.86,No,1
2020,Ramanathapuram,Murder,76,2.17,Low,Evening,Residential Area,Sunny,4.54,27.03,No Event,4861,66.67,No,1
2021,Perambalur,Assault,747,10.83,Medium,Evening,Industrial Zone,Rainy,10.03,21.52,Christmas,525,69.09,No,1
2021,Thanjavur,Murder,1137,24.72,High,Morning,Urban Area,Foggy,4.45,13.38,Temple Festival,7119,84.82,No,1
2021,Ramanathapuram,Cyber Crime,708,19.14,Medium,Morning,Rural Area,Stormy,5.3,16.49,Christmas,5501,80.69,No,1
2019,Dharmapuri,Fraud,852,42.6,High,Morning,Industrial Zone,Foggy,6.35,12.24,Christmas,7135,68.18,No,1
2020,Virudhunagar,Cyber Crime,1085,90.42,High,Morning,Commercial Area,Cloudy,4.86,29.25,Diwali,5504,79.39,No,1
2019,Nagapattinam,Fraud,228,7.6,Low,Night,Industrial Zone,Rainy,10.61,31.25,Pongal,3605,80.3,No,1
2019,Tirunelveli,Drug Offenses,885,17.02,High,Afternoon,Urban Area,Rainy,6.78,31.73,Christmas,10533,78.08,No,1
2021,Chennai,Cyber Crime,819,28.24,High,Morning,Industrial Zone,Foggy,9.67,22.46,Temple Festival,2214,77.72,No,1
2020,Kanyakumari,Theft,746,10.97,Medium,Night,Industrial Zone,Stormy,11.42,29.91,Pongal,1829,88.84,No,1
2019,Nilgiris,Drug Offenses,213,19.36,Low,Afternoon,Industrial Zone,Sunny,3.54,22.77,No Event,11833,66.54,No,1
2019,Madurai,Burglary,175,4.49,Low,Afternoon,Urban Area,Sunny,5,16.66,Temple Festival,11244,91.84,No,1
2019,Cuddalore,Fraud,319,5.5,Low,Morning,Commercial Area,Cloudy,9.88,26.89,Pongal,4870,89.16,No,1
2019,Thanjavur,Drug Offenses,153,4.5,Low,Evening,Urban Area,Sunny,9.21,23.73,Diwali,6374,82.02,No,1
2019,Cuddalore,Assault,1095,16.34,High,Night,Residential Area,Foggy,7.16,31.1,No Event,830,89.48,No,1
2020,Nilgiris,Assault,69,4.93,Low,Morning,Rural Area,Rainy,9.65,25.67,No Event,12684,93.43,No,1
2020,Dindigul,Theft,97,4.85,Low,Morning,Rural Area,Cloudy,8.25,13.96,Pongal,2701,79.97,No,1
2021,Tirunelveli,Theft,507,9.39,Medium,Night,Rural Area,Rainy,6.48,33.52,Pongal,591,65.86,No,1
2021,Nilgiris,Theft,960,11.16,High,Night,Rural Area,Cloudy,11.3,33.59,Christmas,14561,94.43,No,1
2021,Tirunelveli,Cyber Crime,1100,68.75,High,Night,Residential Area,Rainy,10.56,24.33,No Event,6439,91.53,No,1
2019,Cuddalore,Kidnapping,550,9.65,Medium,Night,Commercial Area,Rainy,3.27,11.11,Diwali,1580,69.1,No,1
2021,Pudukkottai,Theft,410,4.23,Medium,Evening,Urban Area,Sunny,8.51,25.13,Temple Festival,13040,75.14,No,1
2020,Pudukkottai,Robbery,279,3.72,Low,Evening,Rural Area,Rainy,9.84,19.47,Independence Day,12045,87.8,No,1
2019,Pudukkottai,Theft,855,24.43,High,Morning,Residential Area,Cloudy,6.01,10.47,Temple Festival,1981,80.98,No,1
2021,Tiruchirappalli,Cyber Crime,513,6.11,Medium,Night,Commercial Area,Foggy,10.34,10.04,Temple Festival,4628,89.57,No,1
2021,Thoothukudi,Assault,87,1.38,Low,Night,Urban Area,Cloudy,3.51,26.13,Diwali,4111,67.61,No,1
2019,Sivagangai,Fraud,117,1.22,Low,Afternoon,Residential Area,Cloudy,3.57,28.81,Independence Day,9400,67.94,No,1
2020,Erode,Robbery,1067,12.86,High,Afternoon,Highway,Sunny,5.64,13.69,Diwali,5976,66.19,No,1
2020,Dindigul,Murder,1171,12.07,High,Morning,Residential Area,Cloudy,4.87,21.54,Independence Day,9032,82.68,No,1
2020,Perambalur,Theft,60,1.82,Low,Morning,Highway,Rainy,7.39,14.57,Temple Festival,8084,80.85,No,1
2021,Karur,Fraud,1139,13.09,High,Night,Urban Area,Sunny,5.8,18.09,Independence Day,2798,83.14,Yes,4
2021,Coimbatore,Kidnapping,604,9.74,Medium,Night,Highway,Rainy,11.39,33.99,Independence Day,7277,75.39,No,1
2020,Villupuram,Domestic Violence,310,3.56,Low,Morning,Rural Area,Rainy,4.63,19.7,Temple Festival,9056,83.43,No,1
2019,Erode,Cyber Crime,993,33.1,High,Night,Rural Area,Stormy,5.78,18.28,Temple Festival,14940,68.51,No,1
2021,Theni,Assault,989,16.21,High,Morning,Rural Area,Foggy,4.92,33.37,Pongal,11410,79.9,No,1
2021,Tiruvannamalai,Theft,701,7.97,Medium,Afternoon,Commercial Area,Stormy,4.34,22.05,Christmas,1278,93.65,No,1
2019,Erode,Kidnapping,1145,22.02,High,Evening,Urban Area,Rainy,9.49,29.43,Diwali,9501,81.33,Yes,4
2021,Salem,Fraud,124,2.48,Low,Morning,Rural Area,Sunny,10.57,10.12,Christmas,11396,94.7,No,1
2020,Ramanathapuram,Kidnapping,930,13.88,High,Evening,Rural Area,Foggy,7.56,16.66,Pongal,9655,87.01,No,1
2021,Coimbatore,Kidnapping,1034,14.16,High,Afternoon,Rural Area,Sunny,11.09,27.6,Pongal,12677,89.56,No,1
2019,Krishnagiri,Cyber Crime,300,7.32,Low,Afternoon,Residential Area,Stormy,10.46,34.73,Temple Festival,4971,93.13,No,1
2021,Dindigul,Drug Offenses,468,27.53,Medium,Evening,Residential Area,Foggy,5.59,29.15,Independence Day,4601,89.39,No,1
2021,Cuddalore,Murder,247,7.26,Low,Evening,Industrial Zone,Sunny,7.5,29.74,Diwali,3988,93.16,No,1
2020,Kanyakumari,Murder,1014,10.45,High,Afternoon,Commercial Area,Foggy,11.18,11.84,No Event,10616,72.46,No,1
2020,Dindigul,Drug Offenses,1087,17.25,High,Afternoon,Highway,Cloudy,10.13,17.16,Temple Festival,4859,84.7,No,1
2019,Theni,Fraud,386,4.54,Low,Morning,Commercial Area,Stormy,6.01,10.53,Christmas,14015,83.1,No,1
2020,Villupuram,Drug Offenses,607,9.48,Medium,Morning,Urban Area,Sunny,5.31,16.28,Christmas,8524,73.35,No,1
2019,Nilgiris,Theft,92,0.95,Low,Morning,Highway,Foggy,5.32,14.15,Independence Day,5250,66.58,No,1
2019,Erode,Murder,213,2.92,Low,Night,Rural Area,Sunny,3.95,26.5,Independence Day,8846,93.3,No,1
2020,Perambalur,Drug Offenses,945,20.54,High,Evening,Commercial Area,Foggy,11.49,29.81,Christmas,8071,66.98,Yes,1
2020,Chennai,Drug Offenses,833,12.62,High,Morning,Residential Area,Foggy,10.92,32.14,Pongal,14624,94.58,No,1
2019,Thanjavur,Cyber Crime,1198,21.02,High,Evening,Highway,Sunny,11.09,11.2,No Event,10076,69.78,No,1
2021,Perambalur,Burglary,971,23.12,High,Night,Residential Area,Stormy,11.46,10.28,Temple Festival,13574,92.72,No,1
2020,Kanyakumari,Theft,949,19.77,High,Night,Industrial Zone,Cloudy,6.63,31.31,Pongal,14272,66.79,No,1
2020,Pudukkottai,Fraud,528,10.56,Medium,Evening,Rural Area,Stormy,5.95,11.13,Independence Day,4577,80.65,No,1
2021,Thoothukudi,Robbery,166,1.68,Low,Night,Residential Area,Foggy,3.18,13.04,Pongal,11477,66.4,No,1
2021,Cuddalore,Murder,871,20.26,High,Afternoon,Rural Area,Rainy,4.15,22.85,Diwali,9740,86.44,No,1
2020,Tirunelveli,Robbery,539,6.91,Medium,Night,Industrial Zone,Cloudy,9.4,27.66,Christmas,13960,67.9,No,1
2021,Vellore,Fraud,546,13,Medium,Night,Industrial Zone,Foggy,5.16,28.48,Christmas,13705,75.15,No,1
2020,Dharmapuri,Cyber Crime,387,5.86,Low,Night,Urban Area,Stormy,4.06,12.87,Independence Day,5675,89.68,No,1
2020,Madurai,Assault,1171,32.53,High,Night,Rural Area,Foggy,3.23,11.52,Christmas,2515,83.56,No,1
2019,Ramanathapuram,Domestic Violence,460,16.43,Medium,Morning,Highway,Sunny,5.02,11.58,No Event,6127,72.44,No,1
2019,Madurai,Drug Offenses,670,7.05,Medium,Afternoon,Residential Area,Foggy,6.24,10.7,Christmas,8696,86.76,No,1
2021,Kanyakumari,Fraud,880,14.43,High,Morning,Residential Area,Cloudy,4.21,26.42,Pongal,14697,77.17,No,1
2019,Ramanathapuram,Theft,640,64,Medium,Night,Rural Area,Foggy,8.5,19.97,Independence Day,3420,72.97,No,1
2019,Dindigul,Domestic Violence,60,0.91,Low,Morning,Industrial Zone,Rainy,3.79,19.5,Independence Day,11201,82.82,No,1
2020,Tiruvannamalai,Murder,899,12.15,High,Afternoon,Commercial Area,Rainy,8.64,25,Independence Day,4115,72.45,No,1
2021,Ariyalur,Murder,958,43.55,High,Afternoon,Industrial Zone,Foggy,6.87,17.6,Christmas,1030,67.5,No,1
2019,Tiruvarur,Theft,1160,21.09,High,Afternoon,Rural Area,Stormy,3.09,18.15,Pongal,11071,93.83,No,1
2021,Thanjavur,Drug Offenses,498,31.12,Medium,Night,Commercial Area,Sunny,5.89,16.25,Temple Festival,13412,73.16,No,1
2021,Dharmapuri,Fraud,109,1.16,Low,Evening,Industrial Zone,Rainy,5.65,34.19,Temple Festival,14579,81.57,No,1
2020,Ariyalur,Robbery,579,6.66,Medium,Night,Residential Area,Cloudy,4.88,11.3,Christmas,3949,80.75,No,1
2019,Ramanathapuram,Drug Offenses,992,13.41,High,Night,Residential Area,Cloudy,9.14,12.32,Christmas,1878,81.12,No,1
2019,Krishnagiri,Drug Offenses,198,9.9,Low,Morning,Residential Area,Foggy,10.25,21.07,Diwali,4998,68.81,No,1
2019,Nagapattinam,Robbery,927,11.04,High,Morning,Commercial Area,Sunny,3.15,27.77,Diwali,4605,91.48,No,1
2020,Sivagangai,Kidnapping,1009,13.28,High,Afternoon,Residential Area,Foggy,9.37,30.49,No Event,7453,90.85,No,1
2021,Chennai,Murder,557,6.05,Medium,Night,Residential Area,Stormy,5.08,25.32,Pongal,6962,75.81,No,1
2020,Tiruchirappalli,Kidnapping,870,13.59,High,Night,Residential Area,Rainy,6.21,23.89,Pongal,5639,77.12,No,1
2020,Thoothukudi,Theft,395,4.49,Low,Night,Highway,Rainy,7.89,35,Temple Festival,13318,85.53,No,1
2021,Tiruvannamalai,Cyber Crime,791,17.2,Medium,Evening,Residential Area,Foggy,5.85,24.83,Pongal,3305,69.64,No,1
2020,Tiruchirappalli,Burglary,526,8.48,Medium,Night,Urban Area,Rainy,5.48,34.22,No Event,11907,90.03,No,1
2019,Cuddalore,Drug Offenses,1121,13.84,High,Afternoon,Highway,Stormy,5.6,17.28,Pongal,13909,82.38,No,1
2021,Namakkal,Burglary,690,12.32,Medium,Morning,Industrial Zone,Stormy,10.1,26.08,Pongal,8123,86.81,No,1
2020,Ariyalur,Fraud,1188,18.56,High,Night,Industrial Zone,Sunny,8.37,20.1,Pongal,9882,94.42,No,1
2019,Pudukkottai,Domestic Violence,931,19,High,Afternoon,Commercial Area,Cloudy,8.5,26.06,No Event,6074,83.89,No,1
2021,Krishnagiri,Kidnapping,335,11.96,Low,Night,Commercial Area,Stormy,9.52,21.87,Pongal,5429,75.64,No,1
2019,Ramanathapuram,Robbery,1116,27.22,High,Night,Urban Area,Cloudy,4.63,15.92,No Event,522,80.57,Yes,4
2020,Namakkal,Robbery,755,35.95,Medium,Evening,Urban Area,Foggy,4.04,27.57,No Event,4548,82.2,No,1
2019,Thanjavur,Kidnapping,935,11,High,Night,Highway,Cloudy,8.05,28.22,Pongal,9700,71.59,No,1
2021,Tiruvarur,Robbery,924,44,High,Evening,Highway,Foggy,3.46,22.07,Temple Festival,12319,68.46,No,1
2021,Virudhunagar,Domestic Violence,1177,11.77,High,Night,Industrial Zone,Foggy,5.06,19.77,Diwali,12354,78.78,No,1
2020,Pudukkottai,Kidnapping,370,4.35,Low,Afternoon,Rural Area,Sunny,11.94,26.48,Pongal,6019,93.53,No,1
2021,Nilgiris,Kidnapping,485,8.36,Medium,Afternoon,Residential Area,Sunny,4.83,22.83,Temple Festival,7946,68.66,No,1
2021,Sivagangai,Cyber Crime,79,3.95,Low,Afternoon,Residential Area,Cloudy,8.41,29.03,Pongal,8901,70.35,No,1
2021,Salem,Kidnapping,1077,21.12,High,Night,Residential Area,Sunny,3.3,32.3,Pongal,13984,67.45,No,1
2019,Dindigul,Kidnapping,474,7.07,Medium,Afternoon,Highway,Rainy,3.46,12.65,No Event,9430,68.08,No,1
2020,Kanyakumari,Murder,1198,99.83,High,Afternoon,Urban Area,Cloudy,11.98,16.92,No Event,1170,86.66,No,1
2019,Ariyalur,Fraud,471,4.71,Medium,Morning,Rural Area,Cloudy,7.53,23.73,Temple Festival,10845,89.63,No,1
2019,Cuddalore,Theft,966,11.64,High,Morning,Residential Area,Foggy,3.32,13.19,No Event,10543,90.09,No,1
2019,Dharmapuri,Assault,1114,20.63,High,Afternoon,Residential Area,Sunny,11.84,13.13,Christmas,6847,75.74,No,1
2020,Vellore,Fraud,917,57.31,High,Evening,Residential Area,Stormy,8.74,11.45,Diwali,7531,72.72,No,1
2020,Vellore,Burglary,105,2.02,Low,Morning,Rural Area,Sunny,7.03,17.55,Pongal,4647,79.08,No,1
2020,Theni,Robbery,1005,83.75,High,Afternoon,Residential Area,Foggy,5.26,24.4,Pongal,14776,84.59,No,1
2020,Madurai,Drug Offenses,508,15.88,Medium,Afternoon,Highway,Foggy,5.28,16.7,Pongal,688,81.33,No,1
2020,Thanjavur,Murder,670,33.5,Medium,Afternoon,Commercial Area,Sunny,3.58,32.98,Christmas,12067,71.29,No,1
2019,Dharmapuri,Fraud,207,2.84,Low,Evening,Urban Area,Foggy,7.6,17.22,No Event,4219,73.27,No,1
2021,Thanjavur,Drug Offenses,436,6.61,Medium,Evening,Residential Area,Sunny,6.72,29.39,Diwali,908,70.47,No,1
2020,Erode,Cyber Crime,361,4.51,Low,Afternoon,Urban Area,Stormy,10.97,33.21,Pongal,12296,79.77,No,1
2021,Dharmapuri,Fraud,728,16.93,Medium,Evening,Urban Area,Rainy,10.89,24.61,No Event,1496,90.49,No,1
2019,Kanyakumari,Theft,520,16.77,Medium,Afternoon,Urban Area,Stormy,11.63,32.97,No Event,12785,78.64,No,1
2019,Dharmapuri,Domestic Violence,608,19.61,Medium,Evening,Highway,Sunny,7.67,12.01,Independence Day,8549,73.35,No,1
2020,Tiruvarur,Drug Offenses,734,40.78,Medium,Night,Industrial Zone,Rainy,6.21,21.84,Independence Day,13920,84.68,No,1
2021,Thanjavur,Burglary,906,69.69,High,Afternoon,Industrial Zone,Rainy,5.53,11.64,Pongal,7285,67.23,No,1
2021,Pudukkottai,Drug Offenses,866,11.25,High,Afternoon,Rural Area,Sunny,3.43,31.25,Pongal,1767,88.39,No,1
2021,Theni,Fraud,1121,13.03,High,Afternoon,Highway,Foggy,5.92,18.15,Diwali,5432,90.45,No,1
2020,Thanjavur,Burglary,517,6.71,Medium,Afternoon,Highway,Sunny,3.07,21.23,Diwali,4686,65.12,No,1
2021,Chennai,Domestic Violence,636,11.16,Medium,Afternoon,Residential Area,Rainy,10.14,32.06,Christmas,9062,78.24,No,1
2020,Pudukkottai,Robbery,767,9.71,Medium,Morning,Highway,Rainy,6.69,15.46,Diwali,13112,92.64,No,1
2020,Ramanathapuram,Drug Offenses,963,38.52,High,Afternoon,Residential Area,Rainy,10.5,34.96,No Event,8591,90.17,No,1
2020,Sivagangai,Fraud,218,14.53,Low,Afternoon,Highway,Sunny,4.89,15.13,Pongal,10843,84.21,No,1
